id;country;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;age;sex;mot;anx;val;sec;ple;ae;i1_2;i2_2;i3_2;i4_2;i5_2;i6_2;i7_2;i8_2;i9_2;i10_2;i11_2;i12_2;i13_2;i14_2;i15_2;i16_2;i17_2;i18_2;i19_2;i20_2;i21_2;i22_2;i23_2;i24_2;i25_2;mot_2;anx_2;val_2;sec_2;ple_2;ae_2
61;Canada;3;3;2;3;3;3;3;3;2;2;4;3;3;3;4;4;4;2;2;2;2;3;4;2;3;20;F;16;16;14;14;12;68;3;3;3;2;3;2;4;3;2;2;4;3;2;3;4;4;3;3;2;4;2;3;4;2;3;16;16;15;15;11;69
107;Canada;3;3;3;3;2;2;4;4;3;5;5;3;4;4;5;5;2;4;1;4;3;4;5;1;4;19;M;21;16;17;20;12;72;2;3;3;3;2;3;4;3;2;2;3;3;3;3;4;5;3;3;2;3;2;3;5;2;3;16;16;13;17;12;70
1;Canada;4;4;2;2;3;4;4;3;2;3;3;3;2;2;2;3;5;3;2;4;2;4;3;1;3;;F;14;20;17;13;9;65;3;4;3;2;3;3;4;3;2;3;3;3;3;2;3;3;3;3;3;4;3;3;4;2;3;15;17;16;16;11;71
58;Canada;5;2;2;4;4;4;5;3;2;2;4;2;1;2;5;2;5;2;2;5;2;4;4;2;2;20;F;15;18;20;12;12;71;4;5;4;3;4;3;5;3;4;2;5;4;3;2;5;2;5;3;3;5;2;5;5;2;3;16;24;19;18;14;71
12;Canada;2;3;2;2;2;4;4;4;3;4;3;3;2;2;3;4;4;3;1;2;1;3;3;1;2;24;M;15;17;12;14;9;63;2;2;4;2;4;2;2;4;4;4;4;2;4;2;4;5;2;4;2;2;2;2;4;1;4;21;10;12;20;11;72
97;Canada;4;3;2;4;3;3;4;4;2;2;4;2;2;4;4;2;4;3;2;4;4;4;5;2;4;19;F;15;17;19;16;14;77;4;3;2;3;2;2;4;2;2;3;4;2;3;3;5;3;3;4;2;4;3;3;4;2;4;17;15;17;15;12;72
36;Canada;3;4;1;2;3;1;4;2;1;3;4;5;1;1;5;5;4;2;1;1;1;5;5;1;5;25;F;21;22;10;11;6;44;4;2;1;2;2;3;3;3;3;5;2;2;2;1;1;3;2;2;3;1;4;3;5;4;4;15;12;14;13;13;73
98;Canada;5;5;2;2;1;3;5;4;2;3;5;4;1;1;5;3;5;1;1;2;5;5;5;2;2;19;F;14;24;20;13;8;63;4;4;4;4;2;4;4;4;2;2;4;4;1;4;4;4;4;2;2;4;2;4;4;2;2;14;20;18;15;14;73
67;Canada;4;4;2;2;1;2;4;2;1;5;4;2;2;2;2;3;5;3;3;4;3;5;3;2;3;20;F;14;20;17;12;10;65;4;4;3;3;2;3;4;3;2;3;4;4;2;3;3;3;4;3;2;5;4;3;3;3;2;13;19;20;14;13;75
111;Canada;4;5;4;2;3;5;4;3;2;3;4;3;2;2;4;2;4;2;3;3;3;4;3;2;3;19;F;15;20;19;14;11;69;4;4;3;3;3;3;4;4;3;4;3;2;3;4;4;3;3;3;2;5;3;3;4;2;4;18;16;18;17;14;75
86;Canada;3;3;3;2;3;3;4;4;2;3;2;3;3;2;4;4;4;3;2;3;2;4;2;2;3;19;M;17;18;13;15;10;63;4;4;4;2;3;2;4;4;2;4;5;2;2;4;3;4;4;4;3;4;2;2;3;2;1;15;16;17;17;13;76
